id,time,label,comment
48,00:48,carlsen,okay so here we go ready for the final
53,00:53,firouzja,yes yes now we are playing okay let's
55,00:55,carlsen,and yeah I get white in the first game
101,01:01,carlsen,gonna go d4 Knight f3 well it just goes
108,01:08,carlsen,for Queens gambit I expected something
109,01:09,firouzja,let's do this let's go bishop b4
112,01:12,carlsen,something something sharper the Ragozin
114,01:14,firouzja,let's see what you got here e d
115,01:15,carlsen,"of of all things now let me take, let's"
117,01:17,firouzja,"so we go castle, e3 we go bishop f5 or"
119,01:19,carlsen,see what he's got in mind
122,01:22,carlsen,he castles
123,01:23,firouzja,h6 maybe then bishop f5 so we go
126,01:26,carlsen,"hmm,yeah, I'm going to go e3, h6"
129,01:29,firouzja,Bishop f5 he goes probably Queen b3 here
130,01:30,carlsen,bishop h4 he is probably gonna go bishop
132,01:32,carlsen,f5 okay let me try a queen
133,01:33,firouzja,so we take and yeah ihe takes so now we
136,01:36,carlsen,b3 he takes it
140,01:40,carlsen,Queen c3 I guess
140,01:40,firouzja,could call g5 I think? we bishop g3 knight b4 if
143,01:43,carlsen,oh yeah that's right
148,01:48,carlsen,g5 immediately it's actually good I
150,01:50,firouzja,he takes on c7 knight c6 is fine so
151,01:51,carlsen,forgot about that
152,01:52,firouzja,let's see what he comes up with
155,01:55,carlsen,no clue what to do here but I didn't
155,01:55,firouzja,okay so he goes Queen a3 umm let's see what
200,02:00,carlsen,feel too keen on taking that pawn on c7 okay
203,02:03,firouzja,can I do
204,02:04,carlsen,I should do something else in the next
206,02:06,carlsen,game cuz I don't want to don't want to
207,02:07,firouzja,um
208,02:08,carlsen,run into his preparation but at least
211,02:11,carlsen,he's thinking now so I'm assuming else he has
211,02:11,firouzja,let's go knight c6 cannot be bad move
214,02:14,carlsen,bunch of good options here like h5 also
217,02:17,carlsen,looked good so now I guess Bishop b5
218,02:18,firouzja,okay bishop b5 so I could go knight e7 or
222,02:22,carlsen,suspect I want to take that next if
223,02:23,firouzja,I could go a5 then he has to take I
224,02:24,carlsen,given a chance
228,02:28,carlsen,if knight c6 maybe I'll go Knight d2 if
228,02:28,firouzja,take rook c1 okay let's just go knight e7
232,02:32,carlsen,he takes King d2 - I think my King is
232,02:32,firouzja,he goes knight d2 I could take on d2 and go
234,02:34,carlsen,more or less fine in the center and if
237,02:37,carlsen,Knight g3 hg at least I got a normal
239,02:39,firouzja,c6 or I could play c6 at first if you want to take
240,02:40,carlsen,position
243,02:43,carlsen,and I could always claim umm that umm I can okay
247,02:47,firouzja,then it's fine
249,02:49,firouzja,probably he should go back with Bishop
251,02:51,carlsen,so that's a clever move huh uh
253,02:53,firouzja,so I don't know where probably to d3 or d2
256,02:56,carlsen,yeah bishop d3 probably takes on d2 - I'm
258,02:58,firouzja,"I am not sure, d3, okay so he wants to"
301,03:01,carlsen,gonna do that anyway
302,03:02,firouzja,attack on
303,03:03,firouzja,"the h-file I guess, so"
306,03:06,carlsen,the thing is if he if he went like
309,03:09,carlsen,Knight d2 King d2 - I would have gone
309,03:09,firouzja,should I go h5? h4? knight g3? fg3? ok I will take
312,03:12,carlsen,Bishop e2 - and if he had would have gone Knight g3
315,03:15,carlsen,hg c6 then I would probably I wanted to
319,03:19,carlsen,trade the bishops
321,03:21,firouzja,"take and go queen a5 check, he goes King c2"
323,03:23,carlsen,ummm the difference being something about the
326,03:26,carlsen,dark squares no sorry the light squares
329,03:29,carlsen,on the on the kingside with with the h
330,03:30,firouzja,- okay let's give a check ok he goes king e2
334,03:34,carlsen,file opened compared to to this where my
336,03:36,carlsen,King is in the center now I think I'm
338,03:38,carlsen,doing fine I'm intending h4 pretty soon
339,03:39,firouzja,- let's push f5 I am down on time a
